trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.4, 'e': 0.5735199860724567}",20,0,-82.27079437653461,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
97,False,"{'a': 0.4, 'e': 0.5652995311603544}",25,0,-36.886989026598464,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.4, 'e': 0.5570225467662173}",20,0,-38.94251669395203,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
99,False,"{'a': 0.4, 'e': 0.5486898605815875}",20,1,-29.215809397355947,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
100,False,"{'a': 0.4, 'e': 0.5403023058681397}",20,0,-34.08766666420331,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
101,False,"{'a': 0.4, 'e': 0.5318607213743555}",30,4,19.127916963404097,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.4, 'e': 0.5233659512516495}",25,0,-54.810501207290386,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
103,False,"{'a': 0.4, 'e': 0.5148188449699553}",20,6,21.83715504116129,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.4, 'e': 0.5062202572327784}",20,14,11.99246951662925,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.4, 'e': 0.49757104789172696}",25,2,-79.76947472495287,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 2}",1
106,False,"{'a': 0.4, 'e': 0.4888720818605275}",20,3,-24.238050619826517,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
107,False,"{'a': 0.4, 'e': 0.4801242290285341}",25,1,-7.5025713097664735,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.4, 'e': 0.47132836417373997}",25,7,-22.366024990749892,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.4, 'e': 0.4624853668753008}",20,6,-32.02812416846663,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.4, 'e': 0.4535961214255773}",20,0,15.861055411342306,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.4, 'e': 0.4446615167417068}",25,4,-16.61079055285977,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
112,False,"{'a': 0.4, 'e': 0.4356824462767121}",30,24,10.676704803835355,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.4, 'e': 0.42665980793015723}",25,0,16.475451645775777,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.4, 'e': 0.41759450395835795}",30,12,-49.458771125213346,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.4, 'e': 0.40848744088415717}",25,13,4.534260007688929,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.4, 'e': 0.3993395294062732}",30,8,12.424810255093934,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.4, 'e': 0.3901516843082303}",20,9,4.962370129929562,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
